saturn01, 349653.00000, 290854.00000, -19.50000, z, salt
saturn03, 344208.00000, 287180.00000, -8.20000, z, salt
south1, 340220.0, 291800.0, -19.50000, z, salt
north1, 341659.0, 292393.0, -19.50000, z, salt
south2, 339779.0, 292573.0, -19.50000, z, salt
north2, 340305.0, 293488.0, -19.50000, z, salt
